SERIAL	CLIENTE	EQUIPAMENTO	ORDEM DE SERVIÇO	FLUXO	GARANTIA	DT RECEBIMENTO
0100221088647522	PAGPOP	Mag-Scan 7	1802262024	CONTRATO	S	2024-05-20
0450191033333308	SUM UP	Chipset-Verifier 3.0	1802182024	CONTRATO	N	2024-05-20
0450211072829382	INFINITE PAY	Chipset-Verifier 3.0	1802382024	CONTRATO	N	2024-05-20
0100241013051824	PAGPOP	Mag-Scan 7	1802262024	CONTRATO	N	2024-05-20
0100221088004064	GETNET	Mag-Scan 7	1802462024	CONTRATO	S	2024-05-20
0450191004209158	PAG SEGURO	Chipset-Verifier 3.0	1802352024	CONTRATO	N	2024-05-20
0100241067494651	GETNET	Mag-Scan 7	1802462024	CONTRATO	N	2024-05-20
0450231011511769	INFINITE PAY	Chipset-Verifier 3.0	1802382024	CONTRATO	N	2024-05-20
0020231009816445	REDECARD	EPOS-X	1802432024	CONTRATO	N	2024-05-20
0100181087476752	GETNET	Mag-Scan 7	1802462024	CONTRATO	N	2024-05-20
0020241073738056	SUM UP	Tricore-V	1802322024	CONTRATO	N	2024-05-20
0020231019824245	CIELO	Tricore-V	1802162024	CONTRATO	N	2024-05-20
0020221000061338	STONE	Tricore-V	1802422024	CONTRATO	S	2024-05-20
0020231017430740	MERCADO PAGO	Tricore-V	1802142024	CONTRATO	N	2024-05-20
0100191001740083	SECUREPAY SOLUTIONS	Mag-Scan 7	1801562024	VAREJO	N	2024-05-20
3450201005116591	GETNET	Chipset-Verifier 3.0	1802652024	CONTRATO	N	2024-05-21
7100241067620613	POINTEXPERT SOLUTIONS	Mag-Scan 7	1800692024	VAREJO	S	2024-05-21
1020181061594378	INFINITE PAY	EPOS-X	1802962024	CONTRATO	N	2024-05-21
1020221023012322	CARDTECH SOLUTIONS	EPOS-X	1801472024	VAREJO	S	2024-05-21
2100181041568679	SUM UP	PX-2100	1802662024	CONTRATO	N	2024-05-21
3450211029287615	GETNET	Chipset-Verifier 3.0	1802652024	CONTRATO	N	2024-05-21
3450211071836957	MERCADO PAGO	Chipset-Verifier 3.0	1802712024	CONTRATO	N	2024-05-21
2100181024851619	PAGPOP	PX-2100	1802732024	CONTRATO	N	2024-05-21
3450221048810629	CIELO	Chipset-Verifier 3.0	1802632024	CONTRATO	N	2024-05-21
